"character" "dialogue"
"102" "PRIS" "I was hoping you'd say that."
"103" "DECKARD (V.O.)" "Machines can be helpful sometimes, but they can also be a pain in the ass.  Ask for a trace on a forger and you might wind up at a steel- mill.  I don't mind a bum-steer once in a while -- it's their personalities that usually get me.  Somebody once said that man makes machines in his own image.  If that's true, whoever made Esper should have been shot."
"104" "ESPER" "This is Esper and I'm ready.  Go ahead please."
"105" "DECKARD" "You equipped for random questions?"
"106" "ESPER" "Why, yes, of course."
"107" "DECKARD" "You start."
"108" "ESPER" "The five in question are third generation Nexus Sixes, constructed of skin-flesh culture, selected enogenic transfer conversion capable of self-perpetuating thought, para-physical abilities and developed for emigration program.  Are you with me?"
"109" "DECKARD" "How do I stop one?"
"110" "ESPER" "Unlike a five, they can sustain massive traumas to several parts of the body without debilitating another.  Sever a leg and it will perform quicker on the remaining leg than the fastest man can run,"
"111" "DECKARD" "Okay, but..."
"112" "ESPER" "I'm coming to that.  Vulnerable zone is the base of the skull, the occipital bone.  A direct hit is a positive retirement."
"113" "VOICE" "You are in violation of traffic ordinance M-139 statutory freeway limit restricted by one-hundred and eighty kilometers."
"114" "SEBASTIAN" "Oh!"
"115" "PRIS" "Whatcha doin'?"
"116" "SEBASTIAN" "You scared me."
"117" "SEBASTIAN" "I'm working."
"118" "SEBASTIAN" "You look... better."
"119" "PRIS" "Just better."
"120" "SEBASTIAN" "Beautiful."
"121" "PRIS" "Thanks."
"122" "PRIS" "And you live in this building all by yourself?"
"123" "SEBASTIAN" "Yeah, I live here pretty much alone right now..."
"124" "SEBASTIAN" "No housing shortage around here... plenty of room for everybody."
"125" "PRIS" "How old are you?"
"126" "SEBASTIAN" "Twenty."
"127" "PRIS" "What's your problem?"
"128" "SEBASTIAN" "Methuselah Syndrome."
"129" "PRIS" "What's that?"
"130" "SEBASTIAN" "My glands.  They grow old too fast."
"131" "PRIS" "Is that why you're still here?"
"132" "SEBASTIAN" "Yes.  I couldn't pass the test."
"133" "PRIS" "I like you just the way you are."
"134" "SEBASTIAN" "Ah, you get hold of your friends?"
"135" "PRIS" "As a matter of fact I did.  They've got some work to do tonight, but they're gonna come tomorrow."
"136" "SEBASTIAN" "Good."
"137" "SEBASTIAN" "I can sleep on the couch."
"138" "MOUSE" "Don't let the bed bugs bite!"
"139" "ESPER" "Nexus designated Leon:  incept date April 10th, 2015 -- to be used in military experiments to determine how hyper metabolism functions in deep space. Nexus designated Batty incept data April 10th, 2015, combat model, level of self-sufficiency, optimum."
"140" "ESPER" "Here's something you might find interesting.  They have been built to emulate the human in every way except in its emotional spectrum. However, after a period of time it is only logical that such a 'mechanism' would create its own emotional responses, hate, love, fear, anger, envy."
"141" "DECKARD" "I know all that."
"142" "ESPER" "What about a summary then."
"143" "DECKARD" "I think we're through for the night."
"144" "ESPER" "Mr. Deckard."
"145" "DECKARD" "Yes?"
"146" "ESPER" "Do you have something against science?"
"147" "DECKARD" "Not if it works."
"148" "ESPER" "And what in your estimation works?"
"149" "DECKARD" "The umbrella."
"150" "DECKARD (V.O.)" "Every government that could was racing to populate their colonial territory.  But emigrants needed incentive.  Over-population and the greenhouse factor didn't seem to be enough; but owning a human look-a-like had lots of appeal. It was big industry, the competition was stiff and Tyrell was top of the line."
"151" "DECKARD (V.O.)" "His claim to fame was making a product more human than human and sometimes the 'more' turned out to be a problem.  This wasn't just an escaped andy who broke his owner's arm -- there were twenty-eight people dead and the pressure was on."
"152" "DECKARD (V.O.)" "But so far they'd always managed to keep it quiet.  Not to say that once in a while there wasn't bad publicity.  Some fanatic bitching about equal rights for andies or an occasional trade union proclaiming it was aun-American for automatons to take jobs away from humans on the colony."
"153" "DECKARD (V.O.)" "But what's more American than good old supply and demand?  The Government needed them, industry made them and the church backed them.  The big religious boys said that Androids, no matter how human, were objects; only God could make people. I'm not religious, but I was inclined to agree. Otherwise I'd be out of a job."
"154" "RACHAEL" "Hello, Mr. Deckard.  My name is Rachael. It seems your department doesn't believe out new unit is to the public benefit. A humanoid robot is like any other machine, it can be a benefit or a hazard.  If it's a benefit, it's not our problem. But because your department can't do an adequate job in detecting the miniscule number at large, it's a problem.  Correct, Mr. Deckard?"
"155" "RACHAEL" "You like our owl?"
"156" "DECKARD" "It's artificial?"
"157" "RACHAEL" "Of course not."
"158" "RACHAEL" "You're in a very unique position, Mr. Deckard.  You could affect the future of this entire organization according to how you work your little test."
"159" "RACHAEL" "Are you apprehensive?"
"160" "DECKARD" "Why should I be?"
"161" "RACHAEL" "For the responsibility of your power.  Being a police bureaucrat, you've got more than your share."
"162" "DECKARD" "You got it wrong, girl.  I work with the bureau not for them."
"163" "DECKARD" "My job isn't to detect malfunctioning andies, it's to eliminate them.  The more the better."
"164" "RACHAEL" "Mr. Deckard.  Dr. Eldon Tyrell."
"165" "TYRELL" "How do you do, Mr. Deckard.  Please sit down.  Would you care for a cup of coffee?"
"166" "DECKARD" "Thanks."
"167" "TYRELL" "Black?"
"168" "DECKARD" "Please."
"169" "TYRELL" "Somehow, I didn't expect that the man who did the dirty work would be the man to do the technical work.  Here you are, Mr. Deckard."
"170" "TYRELL" "Is this to be an empathy test?"
"171" "DECKARD" "Yes."
"172" "TYRELL" "Capillary dilation of the so-called blush response?  Plus fluctuation of the pupil, plus involuntary dilation of the iris?"
"173" "TYRELL" "May I ask a personal question?"
"174" "DECKARD" "Go ahead."
"175" "TYRELL" "Have you ever retired a human by mistake?"
"176" "DECKARD" "No."
"177" "TYRELL" "But in your profession that is a risk."
"178" "DECKARD" "Nothing is infallible, but so far the Voight-Kampff scale bas been foolproof."
"179" "TYRELL" "Like you said, Mr. Deckard, a machine can be a hazard.  The Voight-Kampff scale is a machine, isn't it?"
"180" "DECKARD" "One that relies on human interpretation.  Where's the subject?"
"181" "TYRELL" "Sitting next to you."
"182" "DECKARD'S VOICE" "Ready."
"183" "RACHAEL" "Go ahead."
"184" "DECKARD" "You're given a calfskin wallet for your birthday."
"185" "RACHAEL" "I wouldn't accept it.  Also, I'd report the person who gave it to me to the police."
"186" "DECKARD" "You have a little boy.  He shows you his butterfly collection, plus the killing jar."
"187" "RACHAEL" "I'd take him to the doctor."
"188" "DECKARD" "You're watching T.V. and suddenly you notice a wasp crawling on your wrist."
"189" "RACHAEL" "I'd kill it."
"190" "DECKARD" "In a magazine you come across a full-page photo of a nude girl."
"191" "RACHAEL" "Is this testing whether I'm an android or a lesbian?"
"192" "DECKARD" "You show the picture to your husband. He likes it and hangs it on the wall. The girl is lying on a bearskin rug."
"193" "RACHEL" "I wouldn't let him."
"194" "DECKARD" "Why not?"
"195" "RACHAEL" "I should be enough for him."
"196" "DECKARD" "You become pregnant by a man who runs off with your best friend, and you decide to get an abortion."
"197" "RACHAEL" "I'd never get an abortion."
"198" "DECKARD" "Why not?"
"199" "RACHAEL" "That would be murder, Mr. Deckard."
"200" "DECKARD" "In your opinion."
"201" "RACHAEL" "It would be my child."
"202" "DECKARD" "Sounds like you speaks from experience."
"203" "DECKARD" "Last question.  You're watching an old movie.  It shows a banquet in progress, the guests are enjoying raw oysters."
"204" "RACHAEL" "Ugh."
"205" "DECKARD" "The entree consists of boiled dog stuffed with rice."
"206" "DECKARD" "The raw oysters are less acceptable to you than a dish of boiled dog."
"207" "DECKARD" "Lights please."
"208" "TYRELL" "Well?"
"209" "DECKARD" "If she is, the machine works."
"210" "TYRELL" "The machine works.  She is."
"211" "TYRELL" "How many questions did it take?"
"212" "DECKARD" "Thirteen."
"213" "DECKARD" "She didn't know?"
"214" "TYRELL" "Memory implant.  She was programmed. But I think she has transcended her conditioning.  I think she was beginning to suspect."
"215" "TYRELL" "How many questions does it usually take, Mr. Deckard?"
"216" "DECKARD" "Five, maybe six."
"217" "TYRELL" "You're going to have to be on your toes, my friend."
"218" "TYRELL" "It's a complex problem and we wouldn't want anything to happen to you."
"219" "TYRELL" "For the good of all, I recommend you take Rachael with you. Considering her uniqueness, I'm sure she could prove quite helpful."
"220" "DECKARD" "No thanks."
"221" "TYRELL" "And how is it one man will be able to cover so much ground?"
"222" "DECKARD" "Discreetly."
"223" "TYRELL" "All pertinent information is being fed into your departmental computer, an Esper 231 -- I believe -- and a photo over-lay packet is being produced."
"224" "TYRELL" "Mr. Deckard, I think it would be wise to reconsider my offer."
"225" "DECKARD" "I work alone."
"226" "VOICE" "Let's keep our eyes on the road, Deckard."
"227" "DECKARD'S VOICE" "Sorry."
"228" "VOICE" "Come on, stay with the machine."
"229" "VOICE" "We're going to have to start the sequence again if you don't stay with me, Deckard.  Concentrate."
"230" "DECKARD'S VOICE" "How do you know I'm not?"
"231" "VOICE" "You're not responding to the stimulus.  I can see right here, I'm not getting a reading."
"232" "DECKARD'S VOICE" "I'm tired of this."
"233" "VOICE" "Almost through."
"234" "DECKARD" "So how did I do?"
"235" "WHEELER" "Nerves of steel."
"236" "DECKARD" "No rust?"
"237" "WHEELER" "I didn't say that.  Your motivity rate checked out a little slower than last time."
"238" "DECKARD" "Meaning?"
"239" "WHEELER" "Meaning you don't run as fast as you used to."
"240" "WHEELER" "During the road test..."
"241" "DECKARD" "Yeah?"
"242" "WHEELER" "Your mind kept wandering.  That bothered me."
"243" "DECKARD" "Huh huh."
"244" "WHEELER" "Considering the nature of your work, that could be unhealthy."
"245" "DECKARD" "True."
"246" "WHEELER" "You got a birthday coming up."
"247" "WHEELER" "But you haven't put in for emigration."
"248" "DECKARD" "Nope."
"249" "WHEELER" "You're going to be over the limit."
"250" "DECKARD" "Listen, I could make you a long list of complaints about this fucken city but I still rather be here than up there."
"251" "WHEELER" "What if you change your mind?"
"252" "DECKARD" "They'll change the limit before I change my mind."
"253" "WHEELER" "You sure?"
"254" "DECKARD" "Never been more sure of anything in my life."
"255" "DECKARD" "Why didn't you go?"
"256" "WHEELER" "Too old."
"257" "DECKARD" "But if you could?"
"258" "WHEELER" "My job is here."
"259" "DECKARD" "Me too."
"260" "BATTY" "What's going on down there?"
"261" "PRIS" "He's not ready yet."
"262" "BATTY" "When?"
"263" "PRIS" "Tomorrow, he says."
"264" "RACHAEL" "Was that your dinner?"
"265" "RACHAEL" "I'm sorry.  I called and found out you were on your way home.  These were already delivered to your department but I thought you should have copies as soon as possible."
"266" "RACHAEL" "It's the Nexus information you wanted."
"267" "DECKARD" "Thanks."
"268" "DECKARD" "Is there anything else?"
"269" "RACHAEL" "I know you think it complicates your work, but I'm here to help."
"270" "DECKARD" "I've already got more help than I need."
"271" "RACHAEL" "I think you need more help than you've got."
"272" "RACHAEL" "There's two reasons a man rejects help.  Either because he's so good at what he does he doesn't think he needs it, or he's so insecure he can't admit it."
"273" "DECKARD" "Sounds like I'm an ass-hole either way, but the answer is still no."
"274" "RACHAEL" "Two of us might be more effective than one."
"275" "DECKARD" "I work alone."
"276" "RACHAEL" "No you don't."
"277" "RACHAEL" "You use your equipment, don't you?"
"278" "DECKARD" "So?"
"279" "RACHAEL" "So, I'm a piece of equipment. Use me."
"280" "DECKARD" "That's okay, I'll get it..."
"281" "RACHAEL" "Do I make you nervous?"
"282" "DECKARD" "Yeah."
"283" "RACHAEL" "I'm sorry."
"284" "RACHAEL" "It's strange to suddenly realize that what you thought was your life is actually someone else's fabrication."
"285" "DECKARD" "I can imagine."
"286" "RACHAEL" "Can you?  I couldn't."
"287" "RACHAEL" "A part of me is glad.  I think I feel more.  I don't like who I was before."
"288" "DECKARD" "So why do you think they were after their records."
"289" "RACHAEL" "They probably want to find out when they were made."
"290" "DECKARD" "Right."
"291" "RACHAEL" "I guess the date of your birth is important if you know you're not made to last."
"292" "RACHAEL" "That's my number.  If you need me."
"293" "RACHAEL" "You better get better locks -- if you want to keep me out."
"294" "RACHAEL" "Good night."
"295" "DECKARD" "Night."
"296" "DECKARD (V.O.)" "The possibilities were infinite. They could change their appearances but not their future. Like she said, it was short. Longevity is what they were after. The garbage man even wanted a past. Poor fuck.  I'd check it out but I knew she was right.  The market worked on turn-over.  Built-in obsolescence was the name of the game.  That meant her too.  It was something I didn't want to think about."
"297" "DECKARD" "Yeah."
"298" "BRYANT" "Bryant here.  Regarding the rundown you requested on job applicants, Esper's concluded that the only irregular category that Tyrell's got is the entertainment section.  You better get on it."
"299" "DECKARD" "I was just about to have my dinner."
"300" "BRYANT" "If you hurry you'll get back before it gets cold.  I got a spinner on your roof in five minutes.  Good luck."
"301" "EPSER" "Nexus designated Rachael is a prototype.  Created for in-house use by special mandate form the Scientific Development Regulatory Committee.  Will live conventional term -- no para-physical abilities."
"302" "DECKARD" "What is a conventional term?"
"303" "ESPER" "Four years.  Which would make her termination date..."
"304" "DECKARD" "Never mind.  Do they have that knowledge?"
"305" "ESPER" "Longevity is classified.  No."
"306" "DECKARD" "Okay, gimme a run-down on the three females."
"307" "ESPER" "Nexus designated Mary:  incept November 1 2017, domestic conditioning non competitive, trained for day care position."
"308" "DECKARD" "Next."
"309" "ESPER" "Nexus designated Pris:  incept data December 13 2017, competitive, programmed to provide pleasure for long term spacers."
"310" "DECKARD" "Number three."
"311" "ESPER" "Nexus designated Zhora:  incept June 13th 2017, athletic conditioning, highly competitive, special abilities in the entertainment field."
"312" "DECKARD" "Fuck."
"313" "DECKARD" "Taffey Lewis?"
"314" "TAFFEY" "Yes?"
"315" "DECKARD" "Can I come in?"
"316" "TAFFEY" "Excuse my niece there... She's studying for an exam."
"317" "DECKARD" "I'd like  you to take a look at these pictures."
"318" "TAFFEY" "Of course."
"319" "TAFFEY" "You see I lost my contacts a couple of days ago around here somewhere and my sight is a little... What am I supposed to be looking for?"
"320" "DECKARD" "Do you recognize any of them?"
"321" "TAFFEY" "This one looks familiar, but I don't know.  Naw.  There's one came in today looks a little like this one but..."
"322" "DECKARD" "What did she want?"
"323" "TAFFEY" "Who?"
"324" "DECKARD" "The girl that doesn't look like that girl."
"325" "TAFFEY" "Nothing.  She wanted to know about suck night."
"326" "DECKARD" "What night?"
"327" "TAFFEY" "I didn't know if I wanted to handle her -- I already got a snake act.  But my partner goes down there to the Opera House on suck night to book the good ones."
"328" "DECKARD" "What's suck night?"
"329" "TAFFEY" "That's what we call in the trade, audition free-for- alls and most of it sucks. Bit I don't think that's her."
"330" "DECKARD" "You talking about the Opera House on the Main?"
"331" "DECKARD" "Book the good ones for where?"
"332" "TAFFEY" "Lots of places.  The tours, the clubs, the Silicone shows, private parties."
"333" "DECKARD" "What shows?"
"334" "TAFFEY" "Silicone Valley.  Lots of these science guys never leave that place.  We book two shows a month in there. Those big time techs and bio- guys might be real high zoners up here, but when it comes to the arts, they like it loud and lewd."
"335" "ANNOUNCER'S VOICE" "Let's hear it for the Hermano Brothers."
"336" "ANNOUNCER'S VOICE" "Next we're gonna see a little charmer who keeps her dancing partner in a basket!  She comes to us all the way from exotic Casablanca.  'Salome.'"
"337" "DECKARD" "Excuse me, Miss Salome."
"338" "DECKARD" "I'd like to have a word with you if I could."
"339" "SALOME" "Yeah?"
"340" "DECKARD" "I'm with the American Federation of Variety Artists..."
"341" "DECKARD" "Don't worry, I'm not here to make you join -- that's not my department."
"342" "DECKARD" "I'm an investigator for the Confidential Committee on Moral Abuses."
"343" "DECKARD" "There's been reports of management sexually abusing the artists in this place."
"344" "SALOME" "I don't know nothing about it."
"345" "DECKARD" "You haven't felt yourself to be exploited by the management in any way?"
"346" "SALOME" "How do you mean 'exploited'?"
"347" "DECKARD" "Like to get this position.  Did you or were you asked to do anything lewd or unsavory or otherwise repulsive to your person?"
"348" "SALOME" "Are you for real?"
"349" "DECKARD" "Oh, yeah. You'd be surprised what goes on around here.  I'd like to check the dressing room if I could."
"350" "SALOME" "What the fuck for?"
"351" "DECKARD" "For holes."
"352" "SALOME" "I don't believe this."
"353" "DECKARD" "It that mother real?"
"354" "SALOME" "Of course he's not real.  You think I'd be working here if I could afford a real snake?"
"355" "DECKARD" "It's a good job."
"356" "SALOME" "You mean the snake."
"357" "SALOME" "The best."
"358" "DECKARD" "Does it eat?"
"359" "SALOME" "Come on."
"360" "SALOME" "Jeezus!"
"361" "DECKARD" "Sorry."
"362" "SALOME" "Hey!  Do your job but don't wreck mine, huh?"
"363" "DECKARD" "They have their ways of doing their dirty work without the victim knowing what's going on."
"364" "DECKARD" "You'd be surprised what a guy'll go through to get a glimpse of a beautiful body."
"365" "SALOME" "I bet I would."
"366" "DECKARD" "Little dirty holes the bastards drill in the wall so they can watch a lady undress."
"367" "SALOME" "And what if somebody did try to 'exploit' me?  Who do I go to?"
"368" "DECKARD" "Me."
"369" "SALOME" "And who do I go to about you?"
"370" "DECKARD" "Hmmmmm?"
"371" "ZHORA" "You ever get the feeling things aren't the way they seem?"
"372" "DECKARD" "Stop or you're dead!"
"373" "COP" "Drop it!"
"374" "SERGEANT" "On your belly!"
"375" "DECKARD" "Listen, Sergeant..."
"376" "COP" "Hey, Sarge, this guy's a cop."
"377" "SERGEANT" "Clear this fuckin' crowd."
"378" "BRYANT" "Just because it's a Nexus 6 doesn't change procedure.  A little known fact can become a well-known fact and part of our job, Deckard, is to make sure that doesn't happen. Now how can be do that if you blow one away in front of a fuckin' audience."
"379" "BRYANT" "Well?"
"380" "DECKARD" "She was gonna get away."
"381" "BRYANT" "Then let her get away.  I thought you were a pro -- you're supposed to be a fuckin' tracker!"
"382" "BRYANT" "I'd say you got a little carried away."
"383" "DECKARD" "I didn't like her."
"384" "BRYANT" "You didn't like her!?"
"385" "BRYANT" "You start liking or disliking andies it's time to hang it up."
"386" "BRYANT" "Look, go home.  Get some rest. Take an aspirin."
"387" "DECKARD" "Yeah."
"388" "BARTENDER" "I can't protect your drinks, mister; while you was in the potty, this hummer snatched it."
"389" "DECKARD" "No problem.  Gimme another."
"390" "RUSSIAN" "Forgive me.  I thought was free drink.  I will pay."
"391" "DECKARD" "Forget it."
"392" "LEON" "I think I have no money."
"393" "DECKARD" "It's okay.  Forget it."
"394" "LEON" "But I would like to buy you drink."
"395" "DECKARD" "I'll but you one.  What'll you have?"
"396" "LEON" "Vodka!"
"397" "DECKARD" "Shot of vodka, please."
"398" "LEON" "Thank you very much."
"399" "DECKARD" "My pleasure."
"400" "LEON" "Prosit."
"401" "DECKARD" "Prosit."
"402" "LEON" "You want to see my friends?"
"403" "DECKARD" "Sorry, don't have the time."
"404" "LEON" "No problem."
"405" "DECKARD" "Those cockroaches?"
"406" "LEON" "Ya."
"407" "DECKARD" "How long you had these guys?"
"408" "LEON" "Two months.  But this one is not guy.  It is girl.  His girl."
"409" "LEON" "Usually Blackie waits until Igor is eating; then, when his back is turned, he tries to take advantage of Anna."
"410" "LEON" "Prosit."
"411" "DECKARD" "Prosit."
"412" "LEON" "You never saw a cockroach make love?"
"413" "LEON" "We will try."
"414" "LEON" "It must be that he is not hungry or maybe she is not hot."
"415" "LEON" "You like to kiss her goodbye."
"416" "DECKARD" "No thanks."
"417" "BARTENDER" "Make sure you take your girlfriends with you when you leave."
"418" "LEON" "I like you."
"419" "DECKARD" "I like you too."
"420" "LEON" "One more, eh?"
"421" "DECKARD" "I gotta piss."
"422" "DECKARD" "I think I'll piss outside."
"423" "LEON" "How come you know where Zhora was so quick?"
"424" "DECKARD" "I showed pictures.  Somebody recognized her.  I went to see."
"425" "LEON" "How old am I?"
"426" "DECKARD" "I don't know."
"427" "LEON" "My birthday is April 10, 2015. How long do I live?"
"428" "DECKARD" "Four years."
"429" "LEON" "More than you."
"430" "LEON" "Painful to live in fear, isn't it."
"431" "LEON" "But that's how it is to be a slave.  The future is sealed off, he grovels, he waits."
"432" "LEON" "Sex, reproduction, security, the simple things.  But no way to satisfy them.  To be homesick with no place to go.  Potential with no way to use it.  Lots of little oversights in the Nexus 6."
"433" "LEON" "I tell you, nothing is worse than having an itch you can never scratch."
"434" "DECKARD" "Like I said, I don't need your help."
"435" "RACHAEL" "You look terrible, you know that?"
"436" "DECKARD (V.O.)" "I knew a cop once who was involved in a high-speed chase.  They shot out one of his tires and he went over a cliff at hundred and fifty miles an hour.  They found him in the morning with a broken skull, six fractured ribs and second- degree burns.  On the way to the hospital he made a play for the nurse."
"437" "DECKARD" "Hey!  I thought you were supposed to be taking care of me."
"438" "RACHAEL'S VOICE" "What do you need?"
"439" "DECKARD" "Don't just stand there looking at me.  It's not polite."
"440" "RACHAEL" "What do you want me to do?"
"441" "DECKARD" "Sit."
"442" "DECKARD" "Gimme your arm."
"443" "DECKARD" "You ever take a bath with a man before?"
"444" "RACHAEL" "There's a lot I haven't done with a man before."
"445" "RACHAEL" "You're getting me wet."
"446" "RACHAEL'S VOICE" "Sorry, I am not in at the moment, but if you'll leave your name and number I'll return your call as soon as I can."
"447" "DECKARD" "Fuck you, then."
"448" "SEBASTIAN" "Mr. Deetchum?  Hello?"
"449" "SEBASTIAN" "Now, now, Waddles."
"450" "SEBASTIAN" "Hello, Wrigley."
"451" "SEBASTIAN" "Mr. Deetchum isn't taking very good care of you people."
"452" "BATTY" "Whoops."
"453" "PRIS" "This is my Uncle Roy, Sebastian."
"454" "BATTY" "Hello, glad to meet you."
"455" "PRIS" "And my Aunt Mary."
"456" "PRIS" "And this is my savior, J.F. Sebastian, everybody."
"457" "BATTY" "Can't thank you enough, Mr. Sebastian. If you hadn't come along..."
"458" "MARY" "We were worried to death.  It's awfully kind of you."
"459" "BATTY" "We're not used to the big city. Where we come from it's not so easy to get lost."
"460" "MARY" "You certainly have a nice place here."
"461" "BATTY" "Well stocked."
"462" "PRIS" "Sebastian doesn't like to go out too much."
"463" "SEBASTIAN" "I keep a lot of provisions right here."
